figure,scenario,year,label,cost_ntd_per_tco2
B,Reference,2041,Battery Electric Truck,16457.506807081838
B,Reference,2042,Battery Electric Truck,15854.685993569372
B,Reference,2043,Battery Electric Truck,15286.100146755884
B,Reference,2044,Battery Electric Truck,14748.909491571623
B,Reference,2045,Battery Electric Truck,14240.579876759937
B,Reference,2046,Battery Electric Truck,13790.919430965743
B,Reference,2047,Battery Electric Truck,13363.89117210118
B,Reference,2048,Battery Electric Truck,12957.823917701993
B,Reference,2049,Battery Electric Truck,12571.207061821651
B,Reference,2050,Battery Electric Truck,12202.671741079086
B,Reference,2025,Blue Hydrogen Truck,410801.09362939675
B,Reference,2026,Blue Hydrogen Truck,351318.28958821215
B,Reference,2027,Blue Hydrogen Truck,305219.03355319926
B,Reference,2028,Blue Hydrogen Truck,268443.4156385427
B,Reference,2029,Blue Hydrogen Truck,238422.83209348243
B,Reference,2030,Blue Hydrogen Truck,213452.8348872347
B,Reference,2031,Blue Hydrogen Truck,170916.4302225157
B,Reference,2032,Blue Hydrogen Truck,141624.63006851368
B,Reference,2033,Blue Hydrogen Truck,120224.78410803445
B,Reference,2034,Blue Hydrogen Truck,103906.10163956384
B,Reference,2035,Blue Hydrogen Truck,91050.92788307468
B,Reference,2036,Blue Hydrogen Truck,79391.08759915087
B,Reference,2037,Blue Hydrogen Truck,70112.91194206337
B,Reference,2038,Blue Hydrogen Truck,62554.29049845699
B,Reference,2039,Blue Hydrogen Truck,56277.72376399423
B,Reference,2040,Blue Hydrogen Truck,50982.52443561602
B,Reference,2041,Blue Hydrogen Truck,46466.577383956086
B,Reference,2042,Blue Hydrogen Truck,42564.674710265135
B,Reference,2043,Blue Hydrogen Truck,39159.54676342482
B,Reference,2044,Blue Hydrogen Truck,36161.99810145132
B,Reference,2045,Blue Hydrogen Truck,33502.98074144042
B,Reference,2046,Blue Hydrogen Truck,31153.34206451298
B,Reference,2047,Blue Hydrogen Truck,29039.357039770977
B,Reference,2048,Blue Hydrogen Truck,27127.26528244347
B,Reference,2049,Blue Hydrogen Truck,25389.461292059605
B,Reference,2050,Blue Hydrogen Truck,23803.152966600574
B,Reference,2025,Green Hydrogen Truck,29335.149100655035
B,Reference,2026,Green Hydrogen Truck,29314.28732865465
B,Reference,2027,Green Hydrogen Truck,29292.743556072062
B,Reference,2028,Green Hydrogen Truck,29270.484595229973
B,Reference,2029,Green Hydrogen Truck,29247.475069646796
B,Reference,2030,Green Hydrogen Truck,29223.67723056574
B,Reference,2031,Green Hydrogen Truck,28869.292962428848
B,Reference,2032,Green Hydrogen Truck,28513.562082327142
B,Reference,2033,Green Hydrogen Truck,28156.476891563372
B,Reference,2034,Green Hydrogen Truck,27798.029632642883
B,Reference,2035,Green Hydrogen Truck,27438.21248871105
B,Reference,2036,Green Hydrogen Truck,27022.22653356372
B,Reference,2037,Green Hydrogen Truck,26608.805189346393
B,Reference,2038,Green Hydrogen Truck,26197.924737074543
B,Reference,2039,Green Hydrogen Truck,25789.5617493417
B,Reference,2040,Green Hydrogen Truck,25383.693085852865
B,Reference,2041,Green Hydrogen Truck,24988.73376329289
B,Reference,2042,Green Hydrogen Truck,24596.316950215092
B,Reference,2043,Green Hydrogen Truck,24206.41811437203
B,Reference,2044,Green Hydrogen Truck,23819.013038104342
B,Reference,2045,Green Hydrogen Truck,23434.07781331429
B,Reference,2046,Green Hydrogen Truck,23061.88666147576
